;z>0.7
   03D1fq    0.8000    43.92      0.27
   03D4cn    0.8180    44.14      0.27
   03D4cx    0.9490    44.26      0.17
   03D4di    0.9050    43.84      0.16
   03D4fd    0.7910    43.75      0.21
   04D1aj    0.7210    43.46      0.23
   04D3cp    0.8300    43.62      0.17
   04D3dd    1.0100    44.70      0.17
   04D3gx    0.9100    44.21      0.18
   04D3fq    0.7300    43.57      0.26
   04D3is    0.7100    43.71      0.34
   04D3ki    0.9300    44.43      0.19
   04D3ks    0.7520    43.36      0.23
   04D3lu    0.8218    43.76      0.22
   04D3ml    0.9500    44.14      0.15
   04D3nc    0.8170    43.72      0.21
   04D4bk    0.8400    43.88      0.17
 sn1977ff    1.7550    45.31      0.36
 sn2002dd    0.9500    43.94      0.35
 sn2003eq    0.8400    43.63      0.22
 sn2003es    0.9540    44.26      0.28
 sn2003eb    0.9000    43.60      0.26
 sn2003XX    0.9350    43.93      0.30
 sn2002kd    0.7350    43.10      0.20
 sn2003dy    1.3400    44.88      0.32
 sn2002ki    1.1400    44.67      0.30
 sn2002hp    1.3050    44.47      0.31
 sn2002fw    1.3000    45.02      0.21
 HST04Pat    0.9700    44.63      0.37
 HST04Mcg    1.3700    45.19      0.26
 HST05Fer    1.0200    43.95      0.28
 HST05Koe    1.2300    45.13      0.24
 HST04Gre    1.1400    44.40      0.32
 HST04Omb    0.9750    44.17      0.27
 HST05Lan    1.2300    44.93      0.21
 HST04Tha    0.9540    43.81      0.28
 HST04Rak    0.7400    43.34      0.23
 HST04Man    0.8540    43.92      0.30
 HST05Spo    0.8390    43.41      0.21
 HST04Eag    1.0200    44.48      0.20
 HST05Gab    1.1200    44.63      0.19
 HST05Str    1.0100    44.73      0.20
 HST04Sas    1.3900    44.86      0.20
