e020 0.1590 39.79 0.29
k429 0.1810 39.89 0.17
sn1990O 0.0306 35.81 0.17
sn1990af 0.0502 36.69 0.20
sn1992P 0.0263 35.60 0.19
sn1992ae 0.0748 37.72 0.21
sn1992ag 0.0259 35.14 0.22
sn1992aq 0.1009 38.80 0.15
sn1992bc 0.0198 34.84 0.18
sn1992bh 0.0451 36.91 0.19
sn1992bl 0.0429 36.49 0.18
sn1992bo 0.0181 34.73 0.21
sn1992bp 0.0789 37.78 0.15
sn1992br 0.0878 37.76 0.23
sn1992bs 0.0634 37.64 0.20
sn1993B 0.0707 37.78 0.19
sn1993H 0.0248 35.10 0.18
sn1993O 0.0519 37.12 0.15
sn1993ag 0.0500 37.07 0.18
sn1994M 0.0243 35.24 0.20
sn1994S 0.0160 34.35 0.22
sn1994T 0.0357 36.02 0.17
sn1995ac 0.0488 36.57 0.16
sn1995ak 0.0220 34.70 0.21
sn1996C 0.0275 35.94 0.18
sn1996ab 0.1242 38.90 0.20
sn1996bl 0.0348 36.09 0.18
sn1996bo 0.0163 33.98 0.24
sn1997Y 0.0166 34.53 0.23
sn1997dg 0.0297 36.15 0.19
sn1998V 0.0172 34.36 0.22
sn1998ab 0.0279 35.17 0.18
sn1998dx 0.0537 36.92 0.15
sn1998ef 0.0167 34.16 0.23
sn1998eg 0.0235 35.32 0.20
sn1999aw 0.0392 36.54 0.13
sn1999cc 0.0315 35.82 0.17
sn1999ek 0.0176 34.28 0.22
sn1999gp 0.0260 35.62 0.16
sn2000ca 0.0245 35.24 0.17
sn2000cf 0.0365 36.36 0.17
sn2000cn 0.0232 35.12 0.18
sn2000dk 0.0164 34.37 0.22
sn2000fa 0.0218 34.90 0.21
sn2001V 0.0162 34.14 0.22
sn2001ba 0.0305 35.88 0.16
sn2001cz 0.0163 34.28 0.24
